Node_ID(n),Node_ID(n+1),Time_BP(n),Time_BP(n+1),Interval_Delta_t,Log_Interval_ln,Notes
1,2,3000000.0,2500000.0,,,
2,3,2500000.0,550000.0,,,
3,4,550000.0,300000.0,,,
4,5,300000.0,40000.0,,,
5,6,40000.0,12025.0,,,
6,7,12025.0,5525.0,,,
7,8,5525.0,5125.0,,,
8,9,5125.0,2575.0,,,
9,10,2575.0,1674.5,,,
10,11,1674.5,338.0,,,
11,12,338.0,125.0,,,
12,13,125.0,45.0,,,
13,14,45.0,10.0,,,
