Node_ID(n),Node_ID(n+1),Time_BP(n),Time_BP(n+1),Interval_Delta_t,Log_Interval_ln,Notes
1,2,3900000000,2400000000,,,
2,3,2400000000,1800000000,,,
3,4,1800000000,1000000000,,,
4,5,1000000000,800000000,,,
5,6,800000000,541000000,,,
6,7,541000000,430000000,,,
7,8,430000000,370000000,,,
8,9,370000000,312000000,,,
9,10,312000000,210000000,,,
10,11,210000000,66000000,,,
11,12,66000000,25000000,,,
12,13,25000000,7000000,,,
13,14,7000000,300000,,,
